File: output/sample_CN_S06_Kuser.out                   UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   33.03 mm
SCS storm type= user1
Storm duration=   6.0 h
SCS Curve number=  81.0
Watershed area=    0.24 ha
Maximum flow path length=   31.00 m
Average slope of flow path=   12.15 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=   25.38 mm=   60.91 m3
Initial Abstraction=   11.92 mm
Concentration time=    0.02 h=     1.42 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    4.6801    0.0008    1.2238
    4.6858    0.0008    1.2177
    4.6915    0.0008    1.2098
    4.6971    0.0008    1.2035
    4.7028    0.0008    1.1996
    4.7085    0.0008    1.1977
    4.7142    0.0008    1.1971
    4.7198    0.0008    1.1973
    4.7255    0.0008    1.1977
    4.7312    0.0008    1.1983
    4.7369    0.0008    1.1990
    4.7425    0.0008    1.1997
    4.7482    0.0008    1.2004
    4.7539    0.0008    1.2011
    4.7596    0.0008    1.2010
    4.7652    0.0008    1.1974
    4.7709    0.0008    1.1894
    4.7766    0.0008    1.1807
    4.7823    0.0008    1.1741
    4.7879    0.0008    1.1702
    4.7936    0.0008    1.1684
    4.7993    0.0008    1.1678
    4.8050    0.0008    1.1679
    4.8107    0.0008    1.1683
    4.8163    0.0008    1.1689
    4.8220    0.0008    1.1695
    4.8277    0.0008    1.1702
    4.8334    0.0008    1.1708
    4.8390    0.0008    1.1715
    4.8447    0.0008    1.1711
    4.8504    0.0008    1.1671
    4.8561    0.0008    1.1607
    4.8617    0.0008    1.1546
    4.8674    0.0008    1.1504
    4.8731    0.0008    1.1481
    4.8788    0.0008    1.1472
    4.8844    0.0008    1.1471
    4.8901    0.0008    1.1474
    4.8958    0.0008    1.1478
    4.9015    0.0008    1.1484
    4.9071    0.0008    1.1490
    4.9128    0.0008    1.1497
    4.9185    0.0008    1.1503
    4.9242    0.0008    1.1509
    4.9298    0.0008    1.1499
    4.9355    0.0008    1.1446
    4.9412    0.0008    1.1376
    4.9469    0.0008    1.1317
    4.9525    0.0008    1.1281
    4.9582    0.0008    1.1263
    4.9639    0.0008    1.1257
    4.9696    0.0008    1.1258
    4.9752    0.0008    1.1261
    4.9809    0.0008    1.1266
    4.9866    0.0008    1.1271
    4.9923    0.0008    1.1277
    4.9979    0.0008    1.1283
    5.0036    0.0008    1.1289
    5.0093    0.0008    1.1290
    5.0150    0.0008    1.1266
    5.0206    0.0007    1.1207
    5.0263    0.0007    1.1139
    5.0320    0.0007    1.1087
    5.0377    0.0007    1.1056
    5.0433    0.0007    1.1041
