File: output/class.out                                 UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   88.00 mm
SCS storm type= user 
Storm duration=   6.0 h
SCS Curve number=  87.0
Watershed area=    0.10 ha
Maximum flow path length=   21.10 m
Average slope of flow path=    4.20 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=  489.83 mm=  489.83 m3
Initial Abstraction=    7.59 mm
Concentration time=    0.02 h=     1.44 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    2.4898    0.0028    9.9872
    2.4956    0.0028    9.9995
    2.5014    0.0028   10.0117
    2.5071    0.0028   10.0239
    2.5129    0.0028   10.0360
    2.5187    0.0028   10.0481
    2.5245    0.0028   10.0601
    2.5302    0.0028   10.0721
    2.5360    0.0028   10.0840
    2.5418    0.0028   10.0959
    2.5476    0.0028   10.1078
    2.5534    0.0028   10.1196
    2.5591    0.0028   10.1314
    2.5649    0.0028   10.1431
    2.5707    0.0028   10.1548
    2.5765    0.0028   10.1664
    2.5822    0.0028   10.1780
    2.5880    0.0028   10.1895
    2.5938    0.0028   10.2010
    2.5996    0.0028   10.2125
    2.6053    0.0028   10.2239
    2.6111    0.0028   10.2353
    2.6169    0.0028   10.2466
    2.6227    0.0028   10.2579
    2.6285    0.0029   10.2691
    2.6342    0.0029   10.2804
    2.6400    0.0029   10.2915
    2.6458    0.0029   10.3026
    2.6516    0.0029   10.3137
    2.6573    0.0029   10.3248
    2.6631    0.0029   10.3358
    2.6689    0.0029   10.3467
    2.6747    0.0029   10.3576
    2.6805    0.0029   10.3685
    2.6862    0.0029   10.3794
    2.6920    0.0029   10.3902
    2.6978    0.0029   10.4009
    2.7036    0.0029   10.4117
    2.7093    0.0029   10.4223
    2.7151    0.0029   10.4330
    2.7209    0.0029   10.4436
    2.7267    0.0029   10.4542
    2.7325    0.0029   10.4647
    2.7382    0.0029   10.4752
    2.7440    0.0029   10.4856
    2.7498    0.0029   10.4960
    2.7556    0.0029   10.5064
    2.7613    0.0029   10.5168
    2.7671    0.0029   10.5271
    2.7729    0.0029   10.5373
    2.7787    0.0029   10.5476
    2.7844    0.0029   10.5577
    2.7902    0.0029   10.5679
    2.7960    0.0029   10.5780
    2.8018    0.0029   10.5881
    2.8076    0.0029   10.5981
    2.8133    0.0029   10.6082
    2.8191    0.0029   10.6181
    2.8249    0.0030   10.6281
    2.8307    0.0030   10.6380
    2.8364    0.0030   10.6479
    2.8422    0.0030   10.6577
    2.8480    0.0030   10.6675
    2.8538    0.0030   10.6773
    2.8596    0.0030   10.6870
    2.8653    0.0030   10.6967
    2.8711    0.0030   10.7063
    2.8769    0.0030   10.7160
    2.8827    0.0030   10.7256
    2.8884    0.0030   10.7351
    2.8942    0.0030   10.7447
    2.9000    0.0030   10.7541
    2.9058    0.0030   10.7636
    2.9115    0.0030   10.7730
    2.9173    0.0030   10.7824
    2.9231    0.0030   10.7918
    2.9289    0.0030   10.8011
    2.9347    0.0030   10.8104
    2.9404    0.0030   10.8197
    2.9462    0.0030   10.8289
    2.9520    0.0030   10.8381
    2.9578    0.0030   10.8473
    2.9635    0.0030   10.8564
    2.9693    0.0030   10.8655
    2.9751    0.0030   10.8746
    2.9809    0.0030   10.8836
    2.9867    0.0030   10.8927
    2.9924    0.0030   10.9016
    2.9982    0.0030   10.9106
    3.0040    0.0030   10.9195
    3.0098    0.0030   10.9284
    3.0155    0.0030   10.9373
    3.0213    0.0030   10.9461
    3.0271    0.0030   10.9549
    3.0329    0.0030   10.9637
    3.0387    0.0030   10.9724
    3.0444    0.0031   10.9811
    3.0502    0.0031   10.9898
    3.0560    0.0031   10.9984
    3.0618    0.0031   11.0070
    3.0675    0.0031   11.0156
    3.0733    0.0031   11.0242
    3.0791    0.0031   11.0327
    3.0849    0.0031   11.0412
    3.0906    0.0031   11.0497
    3.0964    0.0031   11.0582
    3.1022    0.0031   11.0666
    3.1080    0.0031   11.0750
    3.1138    0.0031   11.0833
    3.1195    0.0031   11.0917
    3.1253    0.0031   11.1000
    3.1311    0.0031   11.1082
    3.1369    0.0031   11.1165
    3.1426    0.0031   11.1247
    3.1484    0.0031   11.1329
    3.1542    0.0031   11.1411
    3.1600    0.0031   11.1492
    3.1658    0.0031   11.1573
    3.1715    0.0031   11.1654
    3.1773    0.0031   11.1735
    3.1831    0.0031   11.1815
    3.1889    0.0031   11.1895
    3.1946    0.0031   11.1975
    3.2004    0.0031   11.2055
    3.2062    0.0031   11.2134
    3.2120    0.0031   11.2213
    3.2177    0.0031   11.2292
    3.2235    0.0031   11.2370
    3.2293    0.0031   11.2448
    3.2351    0.0031   11.2526
    3.2409    0.0031   11.2604
    3.2466    0.0031   11.2682
    3.2524    0.0031   11.2759
    3.2582    0.0031   11.2836
    3.2640    0.0031   11.2912
    3.2697    0.0031   11.2989
    3.2755    0.0031   11.3065
    3.2813    0.0031   11.3141
    3.2871    0.0031   11.3217
    3.2929    0.0031   11.3292
    3.2986    0.0031   11.3368
    3.3044    0.0032   11.3443
    3.3102    0.0032   11.3517
    3.3160    0.0032   11.3592
    3.3217    0.0032   11.3666
    3.3275    0.0032   11.3740
    3.3333    0.0032   11.3814
    3.3391    0.0032   11.3887
    3.3448    0.0032   11.3961
    3.3506    0.0032   11.4034
    3.3564    0.0032   11.4107
    3.3622    0.0032   11.4179
    3.3680    0.0032   11.4252
    3.3737    0.0032   11.4324
    3.3795    0.0032   11.4396
    3.3853    0.0032   11.4467
    3.3911    0.0032   11.4539
    3.3968    0.0032   11.4610
    3.4026    0.0032   11.4681
    3.4084    0.0032   11.4752
    3.4142    0.0032   11.4822
    3.4200    0.0032   11.4893
    3.4257    0.0032   11.4963
    3.4315    0.0032   11.5033
    3.4373    0.0032   11.5102
    3.4431    0.0032   11.5172
    3.4488    0.0032   11.5241
    3.4546    0.0032   11.5310
    3.4604    0.0032   11.5379
    3.4662    0.0032   11.5448
    3.4720    0.0032   11.5516
    3.4777    0.0032   11.5584
    3.4835    0.0032   11.5652
    3.4893    0.0032   11.5720
    3.4951    0.0032   11.5787
    3.5008    0.0032   11.5854
    3.5066    0.0032   11.5922
    3.5124    0.0032   11.5988
    3.5182    0.0032   11.6055
    3.5239    0.0032   11.6122
    3.5297    0.0032   11.6188
    3.5355    0.0032   11.6254
    3.5413    0.0032   11.6320
    3.5471    0.0032   11.6385
    3.5528    0.0032   11.6451
    3.5586    0.0032   11.6516
    3.5644    0.0032   11.6581
    3.5702    0.0032   11.6646
    3.5759    0.0032   11.6711
    3.5817    0.0032   11.6775
    3.5875    0.0032   11.6839
    3.5933    0.0032   11.6903
    3.5991    0.0032   11.6967
    3.6048    0.0033   11.7031
    3.6106    0.0033   11.7094
    3.6164    0.0033   11.7158
    3.6222    0.0033   11.7221
    3.6279    0.0033   11.7283
    3.6337    0.0033   11.7346
    3.6395    0.0033   11.7409
    3.6453    0.0033   11.7471
    3.6510    0.0033   11.7533
    3.6568    0.0033   11.7595
    3.6626    0.0033   11.7657
    3.6684    0.0033   11.7718
    3.6742    0.0033   11.7780
    3.6799    0.0033   11.7841
    3.6857    0.0033   11.7902
    3.6915    0.0033   11.7963
    3.6973    0.0033   11.8023
    3.7030    0.0033   11.8084
    3.7088    0.0033   11.8144
    3.7146    0.0033   11.8204
    3.7204    0.0033   11.8264
    3.7262    0.0033   11.8324
    3.7319    0.0033   11.8383
    3.7377    0.0033   11.8443
    3.7435    0.0033   11.8502
    3.7493    0.0033   11.8561
    3.7550    0.0033   11.8620
    3.7608    0.0033   11.8678
    3.7666    0.0033   11.8737
    3.7724    0.0033   11.8795
    3.7781    0.0033   11.8853
    3.7839    0.0033   11.8911
    3.7897    0.0033   11.8969
    3.7955    0.0033   11.9026
    3.8013    0.0033   11.9084
    3.8070    0.0033   11.9141
    3.8128    0.0033   11.9198
    3.8186    0.0033   11.9255
    3.8244    0.0033   11.9312
    3.8301    0.0033   11.9369
    3.8359    0.0033   11.9425
    3.8417    0.0033   11.9481
    3.8475    0.0033   11.9537
    3.8533    0.0033   11.9593
    3.8590    0.0033   11.9649
    3.8648    0.0033   11.9705
    3.8706    0.0033   11.9760
    3.8764    0.0033   11.9815
    3.8821    0.0033   11.9871
    3.8879    0.0033   11.9926
    3.8937    0.0033   11.9980
    3.8995    0.0033   12.0035
    3.9053    0.0033   12.0090
    3.9110    0.0033   12.0144
    3.9168    0.0033   12.0198
    3.9226    0.0033   12.0252
    3.9284    0.0033   12.0306
    3.9341    0.0033   12.0360
    3.9399    0.0033   12.0413
    3.9457    0.0033   12.0467
    3.9515    0.0033   12.0520
    3.9572    0.0033   12.0573
    3.9630    0.0034   12.0626
    3.9688    0.0034   12.0679
    3.9746    0.0034   12.0731
    3.9804    0.0034   12.0784
    3.9861    0.0034   12.0836
    3.9919    0.0034   12.0888
    3.9977    0.0034   12.0940
    4.0035    0.0034   12.0992
    4.0092    0.0034   12.1044
    4.0150    0.0034   12.1095
    4.0208    0.0034   12.1147
    4.0266    0.0034   12.1198
    4.0324    0.0034   12.1249
    4.0381    0.0034   12.1300
    4.0439    0.0034   12.1351
    4.0497    0.0034   12.1402
    4.0555    0.0034   12.1452
    4.0612    0.0034   12.1503
    4.0670    0.0034   12.1553
    4.0728    0.0034   12.1603
    4.0786    0.0034   12.1653
    4.0843    0.0034   12.1703
    4.0901    0.0034   12.1753
    4.0959    0.0034   12.1802
    4.1017    0.0034   12.1852
    4.1075    0.0034   12.1901
    4.1132    0.0034   12.1950
    4.1190    0.0034   12.1999
    4.1248    0.0034   12.2048
    4.1306    0.0034   12.2097
    4.1363    0.0034   12.2145
    4.1421    0.0034   12.2194
    4.1479    0.0034   12.2242
    4.1537    0.0034   12.2290
    4.1595    0.0034   12.2338
    4.1652    0.0034   12.2386
    4.1710    0.0034   12.2434
    4.1768    0.0034   12.2482
    4.1826    0.0034   12.2529
    4.1883    0.0034   12.2577
    4.1941    0.0034   12.2624
    4.1999    0.0034   12.2671
    4.2057    0.0034   12.2718
    4.2115    0.0034   12.2765
    4.2172    0.0034   12.2812
    4.2230    0.0034   12.2858
    4.2288    0.0034   12.2905
    4.2346    0.0034   12.2951
    4.2403    0.0034   12.2997
    4.2461    0.0034   12.3043
    4.2519    0.0034   12.3089
    4.2577    0.0034   12.3135
    4.2634    0.0034   12.3181
    4.2692    0.0034   12.3227
    4.2750    0.0034   12.3272
    4.2808    0.0034   12.3317
    4.2866    0.0034   12.3363
    4.2923    0.0034   12.3408
    4.2981    0.0034   12.3453
    4.3039    0.0034   12.3497
    4.3097    0.0034   12.3542
    4.3154    0.0034   12.3587
    4.3212    0.0034   12.3631
    4.3270    0.0034   12.3676
    4.3328    0.0034   12.3720
    4.3386    0.0034   12.3764
    4.3443    0.0034   12.3808
    4.3501    0.0034   12.3852
    4.3559    0.0034   12.3896
    4.3617    0.0034   12.3939
    4.3674    0.0034   12.3983
    4.3732    0.0034   12.4026
    4.3790    0.0034   12.4070
    4.3848    0.0034   12.4113
    4.3905    0.0034   12.4156
    4.3963    0.0034   12.4199
    4.4021    0.0035   12.4242
    4.4079    0.0035   12.4284
    4.4137    0.0035   12.4327
    4.4194    0.0035   12.4369
    4.4252    0.0035   12.4412
    4.4310    0.0035   12.4454
    4.4368    0.0035   12.4496
    4.4425    0.0035   12.4538
    4.4483    0.0035   12.4580
    4.4541    0.0035   12.4622
    4.4599    0.0035   12.4664
    4.4657    0.0035   12.4705
    4.4714    0.0035   12.4747
    4.4772    0.0035   12.4788
    4.4830    0.0035   12.4829
    4.4888    0.0035   12.4871
    4.4945    0.0035   12.4912
    4.5003    0.0035   12.4952
    4.5061    0.0035   12.4993
    4.5119    0.0035   12.5034
    4.5176    0.0035   12.5075
    4.5234    0.0035   12.5115
    4.5292    0.0035   12.5156
    4.5350    0.0035   12.5196
    4.5408    0.0035   12.5236
    4.5465    0.0035   12.5276
